seed,count,less_count
714,15000,7433
714,15500,7647
714,16000,8055
714,16500,8308
714,17000,8492
714,17500,8901
714,18000,9136
714,18500,9457
714,19000,9466
714,19500,9762
714,19900,9965
323,200,81
323,300,153
323,400,187
323,500,250
323,600,276
323,700,358
323,800,411
323,900,458
323,1000,547
323,1500,776
323,2000,1009
323,2500,1269
323,3000,1495
323,3500,1746
323,4000,1984
323,4500,2241
323,5000,2495
323,5500,2781
323,6000,2954
323,6500,3251
323,7000,3501
323,7500,3809
323,8000,3963
323,8500,4311
323,9000,4552
323,9500,4878
323,10000,5097
323,10500,5244
323,11000,5560
323,11500,5840
323,12000,6114
323,12500,6301
323,13000,6670
323,13500,6892
323,14000,7174
323,14500,7349
323,15000,7678
323,15500,7921
323,16000,8095
323,16500,8436
323,17000,8621
323,17500,8909
323,18000,9155
323,18500,9454
323,19000,9555
323,19500,9897
323,19900,10115
805,200,89
805,300,157
805,400,226
805,500,269
805,600,311
805,700,347
805,800,410
805,900,464
805,1000,531
805,1500,804
805,2000,1030
805,2500,1287
805,3000,1550
805,3500,1789
805,4000,2031
805,4500,2320
805,5000,2503
805,5500,2825
805,6000,3035
805,6500,3289
805,7000,3535
805,7500,3845
805,8000,4051
805,8500,4350
805,9000,4603
805,9500,4891
805,10000,5098
805,10500,5437
805,11000,5647
805,11500,5991
805,12000,6163
805,12500,6490
805,13000,6731
805,13500,6998
805,14000,7235
805,14500,7369
805,15000,7735
805,15500,7947
805,16000,8190
805,16500,8353
805,17000,8650
805,17500,8791
805,18000,9183
805,18500,9414
805,19000,9636
805,19500,9922
805,19900,10045
